name,gender,job,house,patronus,species,blood_status,loyalty,skills,birth,death,source,incantation,type,effect,characteristics,alias_names,titles,category,hand,light,difficulty,inventors,ingredients,side_effects,time,title
Jessica Tring,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Michael Frimley,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Jim,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Jimbo Blishwick,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Melody Fawley,Female,[],,,Human,"Pure-blood, half-blood or Squib",,,,,master,,,,,[],[],,,,,,,,,
Jim McGuffin,Male,['Meteorologist'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
J. K. Rowling,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Jenna Hexsmith's mother,Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Merlin,Male,['Advisor to King Arthur and his court'],Slytherin,,Human,,,,,,master,,,,,['Prince of Enchanters'],[],,,,,,,,,
Merope Riddle (née Gaunt),Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Unidentified Male Death Eater at Malfoy Manor (I),Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Unidentified male Death Eater at Malfoy Manor (II),Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
J. Cornell,Male,['Soldier'],,,Human,No-Maj,,,,,master,,,,,[],['Lieutenant Colonel'],,,,,,,,,
J. C. M. van Riemsdijk,Male,"['Musician', 'Author']",,,Human,Muggle,,,,,master,,,,,[],"['Jonkheer', 'Meester']",,,,,,,,,
Unidentified Male Death Eater during the Battle of Hogwarts (III),Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Merula Snyde's International Confederation of Wizards Challenge teammate,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Jatin Agarkar,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Jason Swann,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Jason Samuels,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],['Beater'],,,,,,,,,
Jasonil Years,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Jason Huntingdon,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Jason Charmer,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],['Captain'],,,,,,,,,
Michael,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Michael Babatola,Male,"[""Nurse at St. David's Hospital""]",,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Jack Sloper,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],['Beater'],,,,,,,,,
Jack Monk,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Unidentified goalkeeper,Male (most likely),['Professional goalkeeper'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Ignatia Wildsmith,Female,['Inventor'],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Unidentified Ministry wizard,Male,['British Ministry of Magic employee'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Iain Claverdon,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ianna Afolayan,Female,['Senior Human Resources Specialist'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Molly Weasley's second cousin,Male,"['Accountant', 'Stockbroker']",,,Human,Squib (possibly),,,,,master,,,,,[],[],,,,,,,,,
Ice cream seller,Female,['Ice cream seller'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Ignatius Prewett,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Unidentified girl in the Great Hall,Female,[],"Gryffindor, Hufflepuff or Ravenclaw",,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ignatius Tuft,Male,['Minister for Magic (1959–1962)'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Minister for Magic'],,,,,,,,,
Ignotus Peverell,Male,[],,,Human,Pure-blood,,,,,master,,,,,['Third Brother'],[],,,,,,,,,
Ignotus Peverell's son,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Igor Karkaroff's Yule Ball partner,Female,['Hogwarts employee'],,,Human,Pure-blood or half-blood (likely),,,,,master,,,,,[],[],,,,,,,,,
Illyius,Male,[],,Mouse,Human,,,,,,master,,,,,[],[],,,,,,,,,
Montgomery,Male,[],,,Human,Pure-blood or half-blood (likely),,,,,master,,,,,[],[],,,,,,,,,
Humphrey Kilburn,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Unidentified Mould-on-the-Wold boys,Males,[],,,Humans,Muggles,,,,,master,,,,,[],[],,,,,,,,,
Huguette Perrot,Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Hugo Pepper,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Hugo Mattingley,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Hugo Granger-Weasley,Male,[],,,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Hugh Biggs,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],['Captain'],,,,,,,,,
Hufflepuff Wizard Duelling Champion,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],['Hufflepuff Wizard Duelling Champion'],,,,,,,,,
Hufflepuff Sphinx Club member,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Hufflepuff girl with curly hair,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Hufflepuff girl,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Hufflepuff boy,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Unidentified Muggle,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Unidentified Muggle boy,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Unidentified Muggle child in the zoo‎,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Imelda Reyes's father,Male,[],Slytherin,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Imogen Stretton,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Modesty Barebone,Female,[],,,Human,No-Maj (presumably),,,,,master,,,,,[],[],,,,,,,,,
Irving Cram,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Minerva McGonagalls nieces and nephews,Males and females,[],,,Humans,Half-blood or Squib,,,,,master,,,,,[],[],,,,,,,,,
Minette Lestrange (née Rosier),Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Ivan Kurazh,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Minister for Magic Support Staff official,Male,['British Ministry of Magic Official'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Isobel McGonagall (née Ross),Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Quidditch Captain'],,,,,,,,,
Ministry Guards,Males,['Ministry Guards'],,,Humans,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Ismelda Murk,Female,['Poisonous plant expert'],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Mirabel Garlick's parents,Male and Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Isidora Morganach,Female,['Professor of Defence Against the Dark Arts at Hogwarts School of Witchcraft and Wizardry'],Ravenclaw,,Human,,,,,,master,,,,,[],['Professor'],,,,,,,,,
Miranda Flockton,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Isabella Tintwistle,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Isaac Newton,Male,['Physicist'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Miranda Goshawk,Female,['Author'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Unidentified frowning British Ministry of Magic wizard who murmured instructions to a quill,Male,['British Ministry of Magic employee'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Irma Pince,Female,"['Hogwarts librarian (pre-1991–?)', 'Study Hall overseer (pre-1993–?)']",,Non-corporeal,Human,,,,,,master,,,,,"[""The Dementor of the library (by Jacob's sibling)""]","['Madam', 'Librarian']",,,,,,,,,
Inari Takahashi,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Irma Dugard,Female,['Housekeeper of the Lestrange family'],,,Half-elf/half-human,Half-breed (half-elf),,,,,master,,,,,[],[],,,,,,,,,
Miraphora Mina,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Irfan Mustaq,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Irene Denholm,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Iolanthe Potter (née Peverell),Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Unidentified milkman,Male,['Milkman'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Miriam Strout,Female,['Healer'],,White Swan,Human,,,,,,master,,,,,[],['Madam'],,,,,,,,,
Miss Granger,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Miyuki Tsuji,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Mizuho Yoshii,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Unidentified Frog Choir member (I),Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Unidentified French policeman,Male,['Policeman'],,,Human,Non-Magique,,,,,master,,,,,[],[],,,,,,,,,
Mneemi Tumado,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Ina Seidel,Female,['Author'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
David Blishen,Male,['Photographer for The Guardian'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Pete Balsall,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ben Copper's uncles,Males,[],,,Human,Muggles,,,,,master,,,,,[],[],,,,,,,,,
Takashi Noda,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bridget Wenlock,Female,['Arithmancer'],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amanda,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bridget,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Brice Badeaux,Male,['Journalist'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Viola Richmond,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amanda Pettet,Female,['Reporter for the Daily Express'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Brian Gagwilde,Male,[],,,Human,Pure-blood (possibly),,,,,master,,,,,[],[],,,,,,,,,
Brian Cinderford,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Brian,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Rufus Winickus,Male,[],Slytherin,,Human,,,,,,master,,,,,[],['Quidditch Captain'],,,,,,,,,
Brennan Doyle,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],['Backup Keeper'],,,,,,,,,
Brendon Halkirk,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Runcorn,Female,[],"Gryffindor, Hufflepuff, or Slytherin",,Human,,,,,,master,,,,,[],[],,,,,,,,,
Brandon Angel,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Russell Lucky,Male,[],Slytherin,,Human,,,,,,master,,,,,[],['Quidditch Captain'],,,,,,,,,
Amber Noel,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Stiev Zurchesko,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Stewart Ackerley,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Russell Perkins,Male,['Actor'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Bradley,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Stewart,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amelia Susan Bones,Female,"['Head of the Department of Magical Law Enforcement', 'Member of the Wizengamot']",,,Human,Pure-blood or half-blood,,,,,master,,,,,[],"['Madam', 'Interrogator']",,,,,,,,,
Amina Qureshi,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ruth Mina,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Stevens,Female,[],,,Human,Muggle (most likely),,,,,master,,,,,[],[],,,,,,,,,
Viola Landers,Female,['Actress'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Britainee Portosmodeus,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Alys,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Brother Boniface,Male,['Franciscan Monk'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Brymmy Branicort,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Stuart McKinley,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alistair Thaxted,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Allison Barnes,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Brutus Malfoy,Male,['Editor of Warlock at War'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Allyane Blandus,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Bruno Schmidt,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Uchi Akimbo,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alma,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alonzo Zema,Male,['Shop owner'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Tulip Karasu's mother,Female,['Auror'],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Brother Benedict,Male,['Franciscan Monk'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Rufus Foster,Male,['U.S. federal judge'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Yurika Haneda,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Vinda Rosier,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Bromley Lee,Male,"[""Shepherd's boy""]",,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Stuart Craggy,Male,[],Slytherin,,Human,,,,,,master,,,,,[],['Quidditch Captain'],,,,,,,,,
Ruby Sheldon,Female,['Actress'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
British waitress,Female,['Waitress'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
British Prime Minister in 2020,Male,['Prime Minister'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Tulip Karasu's father,Male,['Auror'],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ruckel Wontcaux,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
British Ministry of Magic meeting assigner,Male,['British Ministry of Magic official'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Alvin Simmons,Male,['Theatre director'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Ruth Winikus,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amit Thakkar,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Steven Osterley,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Andrew,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sadie Baldock,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sage Bragnam,Male,"['Magical historian', 'British Ministry of Magic official', 'Head Curator of the Department of Magical Artefacts']",Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Steoin Wizoxo,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Sakura Akagi,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Andrea Kegworth,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Salazar Slytherin's student,,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
André Denis Leroux,Male,"['Pastry chef', 'Confiserie owner']",,,Human,Muggle-born,,,,,master,,,,,[],[],,,,,,,,,
Stefan Poliakoff,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],['Beater'],,,,,,,,,
Bob Ogden,Male,['Head of the Magical Law Enforcement Squad'],,,Human,Pure-blood or half-blood (likely),,,,,master,,,,,[],[],,,,,,,,,
Bob Hitchens,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Stebbins,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Andrew Cleveley,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sachin Tripathy,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sally-Anne Perks,Female,[],"Gryffindor, Hufflepuff, or Slytherin",,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sally Birchgrove,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Andrew Kirke,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],['Beater'],,,,,,,,,
Sally Smith,Female,[],"Gryffindor, Hufflepuff, or Slytherin",,Human,,,,,,master,,,,,[],[],,,,,,,,,
Salomé Lestrange (née Volant),Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Sam,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Andrew Larson,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Andrew Owly,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Andrew Saxby,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Andrew Snowy Owl,Male,[],Slytherin,,Human,,,,,,master,,,,,[],['Quidditch Captain'],,,,,,,,,
Anderson,Male,['Policeman'],,,Human,Muggle,,,,,master,,,,,[],['Police Constable'],,,,,,,,,
Borgin,Male,['Shopkeeper'],,,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Boy who kept a bezoar in his pocket,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amrish Gupta,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Boy who failed the Avifors Spell,Male,[],Unknown,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Boy who bought novelty socks,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ryan Henry,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Boyle,Female,[],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Boy in Study Hall,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Steve Laughalot,Male,[],Slytherin,,Human,,,,,,master,,,,,[],['Quidditch Captain'],,,,,,,,,
Violet McDowell,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Steve,Male,['Shoeshiner'],,,Human,No-Maj,,,,,master,,,,,"[""Ol' Shoe-shinin' Steve""]",[],,,,,,,,,
Sterling McCubbin,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Stephen Swain,Male,['Parochial vicar'],,,Human,Muggle,,,,,master,,,,,[],"['Reverend', 'Doctor']",,,,,,,,,
Violet Quentin Williams,Female,[],Thunderbird,,Human,,,,,,master,,,,,['Vi (by friends)'],[],,,,,,,,,
Bowman Wright,Male,['Metal charmer'],,,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Sacharissa Tugwood,Female,['Potioneer'],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bowen Duffield,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amy Benson,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Boudicca Lee,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Amy Frome,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Stephen Hawking,Male,"['Theoretical physicist', 'Author']",,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Stephen Gould,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],['Quidditch Captain'],,,,,,,,,
Saberina Zeppy,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Dobby,Male,"Malfoy family's house-elf (? - 1993),
Hogwarts kitchens worker (December 1994 - 1998)",,,House elf,,,"A type of magic specific to house-elves, performed without a wand which includes the ability to apparate, disarm and make objects levitate",28 June,"Late March, 1998",characters,,,,,,,,,,,,,,,
Stephen Challock,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ananyo Dhillon,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Boris Vulchanov,Male,['Beater for the Bulgarian National Quidditch team'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Beater'],,,,,,,,,
Vincent Davis,Male,['Costume and set designer'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Stunned Death Eater,Male,[],,,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,[],['Death Eater'],,,,,,,,,
Alison Denshaw,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sylvia Melville,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Viking Girl,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Caspar Crouch's son,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Baruffio's Brain Elixir,,,,,,,,,,,master,,,Allegedly increases one's brain power,Green in colour,,,,,,,Baruffio,"Leaping Toadstools, Frog brains, Runespoor eggs, Powdered dragon claw, Oil",Possibly harmful mental side effects if brewed incorrectly,Twelve hours,
Caspar Crouch's daughters,Females,[],,,Humans,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Albert Sallow,Male,['Unspeakable'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Caspar Crouch,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Rosalind Antigone Bungs,Female,[],,,Human,Magical to some extent,,,,,master,,,,,[],[],,,,,,,,,
Yutaka Amano,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Carrow,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Caroline Purvis,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rosalyn Ewhurst,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sylvia,Female,['Recording artist'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Albert L. McCausland,Male,['President of Steen National Bank'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Torquil Travers,Male,['Head of the Department of Magical Law Enforcement'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Minister'],,,,,,,,,
Carl Smiley,Male,['Theatre lighting designer'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Carl Sagan,Male,"['Astrophysicist', 'Science communicator', 'Author']",,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Swati Pevekar,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rosa's father,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Rosa's mother,Female,['Potioneer'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Carl Julius 'C. J.' Gebauhr,Male,['Piano maker'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Carl Hopkins,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Cara Tomansey,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rosemary Ames,Female,['Horticulturist'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Wénshī Scrivenshaft,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rosa,Female,['Potioneer'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Viggo Victor's grandfather,Male,['Leader'],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Caractacus Burke,Male,['Shopkeeper'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Symposia Rawle,Female,[],,Ladybird,Human,,,,,,master,,,,,[],[],,,,,,,,,
Roland Abberley,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Cecil Lee's great-grandfather,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Toast Giver'],,,,,,,,,
Cecil Lee,Male,['Member of the Werewolf Capture Unit'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Tabitha Bainbridge,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Cecilia,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Cecil Edwards,Male,['Playwright'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Rolf Scamander,Male,"['Magizoologist', 'Chief Consulting Magizoologist to the Daily Prophet']",,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Albert,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Yvette Coquelot,Female,[],,,Human,Non-Magique,,,,,master,,,,,[],['Madame'],,,,,,,,,
Victor Kidd,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Viggo Victor's father,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Catrin Haggarty,Female,['Thief'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Albert Bellchant,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Yuvraj Suri,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
