name,gender,job,house,wand,patronus,species,blood_status,hair_colour,eye_colour,loyalty,skills,birth,death,known_ingredients,effect,characteristics,difficulty_level,incantation,type,light,slug,alias_names,animagus,boggart,born,died,eye_color,family_members,hair_color,height,jobs,marital_status,nationality,romances,skin_color,titles,wands,weight,category,creator,hand,difficulty,inventors,ingredients,manufacturers,side_effects,time
Cassius Bell,Male,,,,,Human,,,,,,,,,,,,,,,cassius-bell,[],,,Before 1927,,,[],,,['Auror'],,,[],,[],"['Unknown length, wood and core']",,,,,,,,,,
Cassius Warrington,Male,,Slytherin,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,cassius-warrington,[],,,Between 1 September and 31 October 1977 (most likely),,,"['Possible relative', 'Ivy Warrington (possible relative)', 'Winifred Warrington (possible relative)', 'Warrington family']",,,[],,British or Irish,[],,['Chaser'],[],,,,,,,,,,
Catherine Grainhumble,Female,,,,,Human,,,,,,,,,,,,,,,catherine-grainhumble,[],,,Before 1927,,,[],,,[],,French,[],,[],[],,,,,,,,,,
Catherine Kurkus,Female,,,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,catherine-kurkus,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Catherine Tyler,Female,,,,,Human,Muggle,,,,,,,,,,,,,,catherine-tyler,[],,,,,,['Megan Scott (granddaughter)'],,,[],,English,['Horatio Cloke'],,[],[],,,,,,,,,,
Cat in the History of Magic Classroom,,,,,,Cat,,,,,,,,,,,,,,,cat-in-the-history-of-magic-classroom,[],,,Pre 1994,,,[],Black,,[],,,[],,[],[],,,,,,,,,,
Catrin Haggarty,Female,,,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,catrin-haggarty,[],,,Before 1890,,,"['Pádraic Haggarty (brother)', 'Agatha Haggarty (ancestor)', 'Haggarty family']",Black (greying),,['Thief'],,Scottish,[],Light,[],"['Unknown length, wood and core']",,,,,,,,,,
Catriona McClintock,Female,,Slytherin,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,catriona-mcclintock,[],,,"Glasgow, Scotland",,,"['Parents', 'Callum McClintock (younger brother)', 'Cameron McClintock (youngest sister)', 'McClintock family']",,,[],,Scottish,[],,[],[],,,,,,,,,,
Catriona McCormack,Female,,,,,Human,,,,,,,,,,,,,,,catriona-mccormack,[],,,,,Purple,"['Meaghan McCormack (daughter)', 'Kirley Duke (son)', 'McCormack family']",Brown,,"['Chaser and Captain for the Pride of Portree', 'Chaser for the Scottish National Quidditch team']",,British,[],Light,"['Captain', 'Chaser']",[],,,,,,,,,,
Catullus Spangle,Male,,,,,Human,,,,,,,,,,,,,,,catullus-spangle,[],,,1700s,,,[],,,"['Researcher of Charms', 'Author']",,British,[],,['Professor'],[],,,,,,,,,,
Cauã Nemereux,Female,,,,,Human,,,,,,,,,,,,,,,caua-nemereux,[],,,,,,[],,,['Writer for Le Cri de la Gargouille'],,French,[],,[],[],,,,,,,,,,
Cauã Nemerus,Male,,,,,Human,,,,,,,,,,,,,,,caua-nemerus,[],,,,,,[],,,"['Reporter for the Daily Prophet', 'Author']",,,[],,[],[],,,,,,,,,,
Cecil Anderson,Male,,,,,Human,,,,,,,,,,,,,,,cecil-anderson,[],,,,,,"['Billie Anderson (possibly)', 'Possible relative', 'Anderson family']",,,[],,British or Irish,[],,['Beater'],[],,,,,,,,,,
Cecil Edwards,Male,,,,,Human,No-Maj,,,,,,,,,,,,,,cecil-edwards,[],,,,,,[],,,['Playwright'],,,[],,[],[],,,,,,,,,,
Cecilia,Female,,,,,Human,Muggle,,,,,,,,,,,,,,cecilia,[],,,,,,[],,,[],,British,['Tom Riddle Senior †'],,[],[],,,,,,,,,,
Cecilia Gallerani,Female,,,,,Human,,,,,,,,,,,,,,,cecilia-gallerani,[],,,"1473, Siena, Italy","1536 (aged 63), Cremona, Italy",Brown,"['Ludovico Carminati dé Brambilla (husband)', 'Gallerani family', 'Carminati family (in-laws)']",Brown,,[],,,"['Ludovico Carminati dé Brambilla (husband)', 'Ludovico Sforza, Duke of Milan (lover)']",Light,[],[],,,,,,,,,,
Cecil Lee,Male,,,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,cecil-lee,[],,,Before 1967 (most likely),,Green,"['Mother †', 'Leah Lee (older sister)', 'Younger brother', 'Sister-in-law', 'Barnaby Lee (nephew)', 'Lee family']",Reddish brown,,['Member of the Werewolf Capture Unit'],,British or Irish,[],Light,[],"['Unknown length, wood and core']",,,,,,,,,,
Cecil Lee's great-grandfather,Male,,,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,cecil-lee-s-great-grandfather,[],,,,,,"['Possible granddaughter', 'Lee family']",,,[],,,[],,['Toast Giver'],[],,,,,,,,,,
Cecil Shetland,Male,,,,,Human,,,,,,,,,,,,,,,cecil-shetland,[],,,,Before 2008,Grey,[],Brown,,[],,British or Irish,[],Light,['Prefect'],[],,,,,,,,,,
Cecily,Female,,,,,Human,,,,,,,,,,,,,,,cecily,[],,,,,,[],,,[],,American,['Sam'],,[],[],,,,,,,,,,
Cedrella Weasley (née Black),Female,,Slytherin,,,Human,Pure-blood,,,,,,,,,,,,,,cedrella-black,[],,,Between 1915 and 1919,In or before 1995 (presumably),,"['Arcturus Black (II) (father) †', 'Lysandra Black (née Yaxley) (mother)', 'Callidora Longbottom (née Black) (older sister)', 'Charis Crouch (née Black) (younger sister) †', 'Septimus Weasley (husband)', 'Arthur Weasley (son)', 'Two sons', 'Bilius (possible son) †', 'Possible son', 'Molly Weasley (née Prewett) (daughter-in-law)', 'William Weasley (grandson)', 'Charles Weasley (grandson)', 'Percy Weasley (grandson)', 'Fred Weasley (grandson) †', 'George Weasley (grandson)', 'Ronald Weasley (grandson)', 'Ginevra Potter (née Weasley) (granddaughter)', 'Possible grandson', 'Harfang Longbottom (brother-in-law)', 'Caspar Crouch (brother-in-law) †', 'Nephew', 'Niece', 'Nephew', 'Two nieces', 'Phineas Nigellus Black (paternal grandfather) †', 'Ursula Black (née Flint) (paternal grandmother) †', 'Sirius Black (II) (paternal uncle) †', 'Phineas Black (paternal uncle) †', 'Belvina Burke (née Black) (paternal aunt) †', 'Cygnus Black (II) (paternal uncle) †', 'Hesper Black (née Gamp) (paternal aunt by marriage) †', 'Herbert Burke (paternal uncle by marriage) †', 'Violetta Black (née Bulstrode) (paternal aunt by marriage) †', 'Arcturus Black (III) (paternal first cousin) †', 'Lycoris Black (paternal first cousin) †', 'Regulus Black (I) (paternal first cousin) †', 'Two male paternal first cousins', 'Female paternal first cousin', 'Pollux Black (paternal first cousin) †', 'Cassiopeia Black (paternal first cousin) †', 'Marius Black (paternal first cousin) †', 'Dorea Potter (née Black) (paternal first cousin)', 'House of Black (paternal family)', 'Yaxley family (maternal family)', 'Weasley family (in-laws/descendants)']",,,[],Married or widowed,British or Irish,['Septimus Weasley (husband)'],,[],[],,,,,,,,,,
Cedric,Male,,,,,Human,,,,,,,,,,,,,,,cedric,[],,,31 August 1980 or earlier,,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Cedric Diggory,Male,,Hufflepuff,,,Human,Pure-blood (possibly),,,,,,,,,,,,,,cedric-diggory,['Ced (by Amos Diggory)'],,Lord Voldemort,Between 1 September and 30 October 1977,"24 June 1995 (aged 17), Little Hangleton graveyard, England, Great Britain",Grey,"['Amos Diggory (father)', 'Mother', 'Eldritch Diggory (relative) †', 'Diggory family']",Dark,,[],,British or Irish,['Cho Chang (girlfriend)'],,"['Quidditch Captain', 'Seeker', 'Prefect', 'Triwizard Champion']","[""12¼', Ash, Unicorn hair""]",,,,,,,,,,
Cedric Diggory's friends,"Four males, One female",,Hufflepuff,,,Humans,,,,,,,,,,,,,,,cedric-diggory-s-friends,[],,,On or before 31 August 1983,,,[],"Black (boys), Blonde (girl)",,[],,British or Irish,[],,[],[],,,,,,,,,,
Céléase Lestrange,Female,,,,,Human,Pure-blood (probably),,,,,,,,,,,,,,celease-lestrange,[],,,1611,1635 (aged 24),,"['Volant family', 'Lestrange family']",,,[],,French,[],,[],[],,,,,,,,,,
Celeste,Female,,,,,Human,,,,,,,,,,,,,,,celeste,[],,,Between 1 September 1990 and 31 August 1997,,Green,[],Dark brown,,[],,British or Irish,[],Dark,[],[],,,,,,,,,,
Celeste Aérienne,Female,,,,,Human,,,,,,,,,,,,,,,celeste-aerienne,[],,,,Before the 1920s,,[],Blonde,,['Flying acrobat'],,French,[],,[],[],,,,,,,,,,
Céleste Bergne,Female,,,,,Human,,,,,,,,,,,,,,,celeste-bergne,[],,,,,,[],,,['Reporter for a French-language wizarding newspaper'],,,[],,[],[],,,,,,,,,,
Celeste Chevalier,Female,,,,,Human,,,,,,,,,,,,,,,celeste-chevalier,[],,,Between 1911 and 1918,,,[],,,[],,French,[],,[],"['Unknown length, wood and core']",,,,,,,,,,
Celestina Warbeck,Female,,Gryffindor,,,Human,Half-blood,,,,,,,,,,,,,,celestina-warbeck,['The Singing Sorceress'],,,"18 August 1917, Wales",,Brown,"['Father', 'Mother', 'First husband', 'Second husband', 'Irving Warble (third husband)', 'Son', 'Warbeck family']","Dark (formerly), Grey",,['Singer'],Married,Welsh,"['First husband', 'Second husband', 'Irving Warble (third husband)']",Dark,"['Madam', 'Club president']","[""10½', Larch, phoenix feather""]",,,,,,,,,,
Celestina Warbeck's first husband,Male,,,,,Human,,,,,,,,,,,,,,,celestina-warbeck-s-first-husband,[],,,,,,"['Celestina Warbeck (ex-wife)', 'Ex-father-in-law', 'Ex-mother-in-law', 'Warbeck family (ex-in-laws)']",,,['Backing dancer for Celestina Warbeck'],Divorced,,['Celestina Warbeck (formerly)'],,[],[],,,,,,,,,,
Celestina Warbeck's second husband,Male,,,,,Human,,,,,,,,,,,,,,,celestina-warbeck-s-second-husband,[],,,,,,"['Celestina Warbeck (ex-wife)', 'Son', 'Ex-father-in-law', 'Ex-mother-in-law', 'Warbeck family (formerly in-laws)']",,,['Manager of Celestina Warbeck'],Divorced,,['Celestina Warbeck (formerly)'],,[],[],,,,,,,,,,
Celestina Warbeck's son,Male,,,,,Human,Half-blood or Squib,,,,,,,,,,,,,,celestina-warbeck-s-son,[],,,After 1937,,,"['Celestina Warbeck (mother)', 'Father', 'Irving Warble (step-father)', 'Grandfather', 'Grandmother', 'Warbeck family (maternal family)']",,,[],,,[],,[],[],,,,,,,,,,
Celia Barnett,Female,,,,,Human,,,,,,,,,,,,,,,celia-barnett,[],,,,,,['Maxwell Barnett (possibly)'],,,"[""Creator of the Celia Barnett's Supasnacks line (presumably)""]",,,[],,[],[],,,,,,,,,,
Celine Castillon,Female,,,,,Human,,,,,,,,,,,,,,,celine-castillon,['Matagot of Wizard Chess'],,,Before 1988,,Grey,[],Dark blonde,,[],,,[],Light,['Keeper'],[],,,,,,,,,,
Centaur leader,,,,,,Centaur,,,,,,,,,,,,,,,centaur-leader,[],,,Before 2 September 1890,,,[],,,[],,,[],,[],[],,,,,,,,,,
Cerberus Langarm,Male,,,,,Human,,,,,,,,,,,,,,,cerberus-langarm,[],,,,,Brown,[],Black,,"['Hit Wizard (formerly)', 'Auror']",,British,[],Dark,['Officer'],[],,,,,,,,,,
Ceremony official,Male,,,,,Human,,,,,,,,,,,,,,,ceremony-official,[],,,,,,[],,,['Officiated ceremonies'],,,[],,[],[],,,,,,,,,,
Cereus Greengrass,Female,,,,,Human,"Pure-blood, half-blood or Squib",,,,,,,,,,,,,,cereus-greengrass,[],,,,,,"['Gareth Greengrass (father) †', 'Aquila Greengrass (mother) †', 'Paternal uncle', 'Possible ancestor †', 'Daphne Greengrass (possible relative)', 'Astoria Malfoy (née Greengrass) (possible relative) †', 'Scorpius Malfoy (possible relative)', 'Greengrass family']",,,[],,British,[],,[],[],,,,,,,,,,
Ceridwen's Cauldrons shopkeeper,Male,,,,,Human,,,,,,,,,,,,,,,ceridwen-s-cauldrons-shopkeeper,[],,,Before 1890,,,[],,,"[""Owner of Ceridwen's Cauldrons""]",,,[],,[],[],,,,,,,,,,
Chadwick Boot,Male,,Thunderbird,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,chadwick-boot,[],,,"c. 1618, Ireland (likely)",,Brown,"['Father †', 'Mother †', 'Isolt Steward (née Sayre) (adoptive mother) †', 'James Steward (adoptive father) †', 'Webster Boot (younger brother)', 'Martha Steward (II) (adoptive sister)', 'Rionach Steward (adoptive sister)', 'Josefina Calderon (wife)', 'At least one child', 'Sister-in-law', 'Adoptive brother-in-law', 'At least one niece or nephew', 'Boot family', 'Steward family (adoptive family)', 'Calderon family (in-laws)', 'Calderon-Boot family (descendants)']",Brown,,"['Founder of Ilvermorny School of Witchcraft and Wizardry', 'Author']",Married,Irish-American,['Josefina Calderon (wife)'],Light,['Founder'],"['Unknown length, Prickly ash, Horned Serpent horn']",,,,,,,,,,
Chambers,Unknown,,Ravenclaw,,,Human,,,,,,,,,,,,,,,chambers,[],,,On or before 31 August 1983,,,[],,,[],,British or Irish,[],,['Chaser'],[],,,,,,,,,,
Chandler,Male.,,,,,Human,,,,,,,,,,,,,,,chandler,[],,,Before the 1920s,,,[],,,['Musician'],,French,[],,[],"['Unknwn length, wood, and core']",,,,,,,,,,
Chandra Amble,Female,,,,,Human,,,,,,,,,,,,,,,chandra-amble,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Chang,Male,,,,,Human,,,,,,,,,,,,,,,cho-chang-s-grandfather,[],,,Before 1927,,,"['Son', 'Daughter-in-law', 'Cho Chang (granddaughter)', 'Grandchild-in-law', 'Chang family']",,,['Auror'],,,[],,[],[],,,,,,,,,,
Charis Crouch (née Black),Female,,Slytherin,,,Human,Pure-blood,,,,,,,,,,,,,,charis-black,[],,,1919,1973 (aged 53–54),,"['Arcturus Black (II) (father) †', 'Lysandra Black (mother)', 'Callidora Longbottom (née Black) (older sister)', 'Cedrella Weasley (née Black) (older sister)', 'Caspar Crouch (husband) †', 'Son †', 'Two daughters †', 'Bartemius Crouch Snr (possible son) †', 'Harfang Longbottom (brother-in-law)', 'Septimus Weasley (brother-in-law)', 'Nephew', 'Niece', 'Nephews', 'Arthur Weasley (nephew)', 'Bilius (possible nephew) †', 'Sirius Black (II) (paternal uncle) †', 'Phineas Black (paternal uncle) †', 'Belvina Burke (née Black) (paternal aunt) †', 'Cygnus Black (II) (paternal uncle) †', 'Hesper Black (née Gamp) (paternal aunt by marriage)', 'Lysandra Black (née Yaxley)', 'Herbert Burke (paternal uncle by marriage)', 'Violetta Black (née Bulstrode) (paternal aunt by marriage)', 'Arcturus Black (III) (paternal first cousin) †', 'Lycoris Black (paternal first cousin) †', 'Regulus Black (I) (paternal first cousin) †', 'Male paternal cousins', 'Female paternal cousin', 'Pollux Black (paternal first cousin) †', 'Cassiopeia Black (paternal first cousin) †', 'Marius Black (paternal first cousin) †', 'Dorea Potter (née Black) (paternal first cousin) †', 'Phineas Nigellus Black (paternal grandfather) †', 'Ursula Black (née Flint) (paternal grandmother)', 'Possible daughter-in-law †', 'Bartemius Crouch Jnr (possible grandson) †', 'House of Black', 'Yaxley family (maternal family)', 'Crouch family']",,,[],Married or widowed,British or Irish,['Caspar Crouch (husband) †'],White,[],[],,,,,,,,,,
Charity Burbage,Female,,,,Non-corporeal,Human,Pure-blood or half-blood (possibly),,,,,,,,,,,,,,charity-burbage,[],,,Before 1980,"Late July 1997, Malfoy Manor, Wiltshire, England, Great Britain",,[],,,['Professor of Muggle Studies at Hogwarts (c. 1993–1997)'],Single,British or Irish,[],,['Professor'],"['Unknown length, wood and core']",,,,,,,,,,
Charity Wilkinson,Female,,,,,Human,,,,,,,,,,,,,,,charity-wilkinson,[],,,,,,"['Saranna Wilkinson (possibly)', 'Wilkinson family']",,,"['Auror (formerly)', 'President of the Magical Congress of the United States of America']",,American,[],,['President'],"['Unknown length, wood and core']",,,,,,,,,,
Charlatan,Male,,,,,Human,Muggle,,,,,,,,,,,,,,charlatan,[],,,,,,[],,,"[""King's Private Magic Master for the King (formerly)""]",,,[],,['Grand Sorcerer in Chief (formerly)'],[],,,,,,,,,,
Charles Dana Gibson,Male,,,,,Human,No-Maj,,,,,,,,,,,,,,charles-dana-gibson,[],,,14 September 1867,23 December 1944,,[],,,['Illustrator'],,,[],,[],[],,,,,,,,,,
Charles Demengeot,Male,,,,,Human,,,,,,,,,,,,,,,charles-demengeot,[],,,,,,[],,,"['Author', 'Engraver']",,,[],,[],[],,,,,,,,,,
Charles Dickens,Male,,,,,Human,,,,,,,,,,,,,,,charles-dickens,[],,,1812,1870 (aged 58),,[],,,['Author'],,English,[],,[],[],,,,,,,,,,
Charles Epanel,Male,,,,,Human,Muggle,,,,,,,,,,,,,,charles-epanel,[],,,1936,1972 (aged 35 - 36),,[],,,[],,,[],,[],[],,,,,,,,,,
Charlesetta Nagy,Female,,,,,Human,,,,,,,,,,,,,,,charlesetta-nagy,['Mother'],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Charles Machin,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,charles-machin,[],,,31 August 1982 or earlier,,Grey,[],Red,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Charles Pikal,Male,,,,,Human,Muggle,,,,,,,,,,,,,,charles-pikal,[],,,1935,1972 (aged 36 - 37),,[],,,[],,,[],,[],[],,,,,,,,,,
Charles Rookwood,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,charles-rookwood,[],,,c. 15th century,By 1890,Brown,"['Descendant †', 'Victor Rookwood (descendant) †', 'Augustus Rookwood (possibly)', 'Rookwood family']",White,,['Professor of Transfiguration at Hogwarts School of Witchcraft and Wizardry'],,Scottish,[],Light,['Professor'],"['Unknown length, wood, and core']",,,,,,,,,,
Charles Szczech,Male,,,,,Human,,,,,,,,,,,,,,,charles-szczech,[],,,Before the 1920s,,,[],,,['Author'],,French,[],,[],[],,,,,,,,,,
Charles Weasley,Male,,Gryffindor,,Non-corporeal,Human,Pure-blood,,,,,,,,,,,,,,charles-weasley,['Charlie (by family and friends)'],,,"12 December 1972  England, Great Britain",,Brown,"['Septimus Weasley (paternal grandfather)', 'Cedrella Weasley (née Black) (paternal grandmother)', 'Maternal grandfather', 'Two paternal uncles', 'Gideon Prewett (maternal uncle) †', 'Fabian Prewett (maternal uncle) †', 'Bilius (uncle or uncle by marriage) †', 'Uncle or uncle by marriage', 'First cousin', 'Arthur Weasley (father)', 'Molly Weasley (née Prewett) (mother)', 'William Weasley (older brother)', 'Percy Weasley (younger brother)', 'Fred Weasley (younger brother) †', 'George Weasley (younger brother)', 'Ronald Weasley (younger brother)', 'Ginevra Potter (née Weasley) (younger sister)', 'Victoire Weasley (niece)', 'Dominique Weasley (niece)', 'Louis Weasley (nephew)', 'Molly Weasley (II) (niece)', 'Lucy Weasley (niece)', 'Fred Weasley (II) (nephew)', 'Roxanne Weasley (niece)', 'Rose Granger-Weasley (niece)', 'Hugo Granger-Weasley (nephew)', 'James Potter (II) (nephew)', 'Albus Potter (nephew)', 'Lily Potter (II) (niece)', 'Panju Weasley (nephew in alternate timeline)', 'Fleur Weasley (née Delacour) (sister-in-law)', 'Audrey Weasley (sister-in-law)', 'Angelina Weasley (née Johnson) (sister-in-law)', 'Hermione Granger (sister-in-law)', 'Harry Potter (brother-in-law)', 'Padma Patil (sister-in-law in alternate timeline)', 'Matilda Weasley (possible relative)', 'G. Weasley (possible relative)', 'Garreth Weasley (possible relative)', 'Possible relative', 'Possible relatives', 'Hector Weasley (possible relative)', 'Weasley family (paternal family)', 'Prewett family (maternal family)']",Red,,['Dragonologist'],Single,English,[],Heavily freckled,"['Prefect', 'Seeker', 'Quidditch Captain']","[""12', Ash, unicorn tail hair (formerly)"", 'Unknown length, wood and core']",,,,,,,,,,
Charles W. Edwards,Male,,,,,Human,Muggle,,,,,,,,,,,,,,charles-edwards,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Charlie Baverstock,Male,,,,,Human,,,,,,,,,,,,,,,charlie-baverstock,[],,,,,,[],,,['Manager of the New Zealand National Quidditch team'],,,[],,['Manager'],[],,,,,,,,,,
Charlie Farley,Male,,,,,,,,,,,,,,,,,,,,charlie-farley,[],,,,,,"['Bella Farley (unknown)', 'Jake Farley (unknown)', 'Madge Farley (unknown)']",,,[],,,[],,[],[],,,,,,,,,,
Charlie G,Male,,,,,Human,Muggle,,,,,,,,,,,,,,charlie-g,[],,,,,,[],,,['Musician'],,,[],,[],[],,,,,,,,,,
Charlie Stainforth,Male,,Gryffindor,,,Human,,,,,,,,,,,,,,,charlie-stainforth,[],,,31 August 1982 or earlier,,Green,[],Blond,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Charlotte Morrison,Female,,Hufflepuff,,,Human,,,,,,,,,,,,,,,charlotte-morrison,[],,,Between 1 September 1874 and 31 August 1875,,Brown,[],Brown,,[],,British or Irish,[],Dark,[],"['Unknown length, wood and core']",,,,,,,,,,
Charlus Potter,Male,,,,,Human,Pure-blood,,,,,,,,,,,,,,charlus-potter,[],,,Before 1977,Before 31 October 1981,,"['Dorea Potter (née Black) (wife) †', 'Son †', 'Cygnus Black (II) (father-in-law) †', 'Violetta Black (née Bulstrode) (mother-in-law)', 'Pollux Black (brother-in-law) †', 'Cassiopeia Black (sister-in-law) †', 'Marius Black (brother-in-law) †', 'Irma Black) (née Crabbe) (sister-in-law by marriage)', 'Walburga Black (niece by marriage) †', 'Alphard Black (nephew by marriage) †', 'Cygnus Black (III) (nephew by marriage) †', 'Araminta Meliflua Black (possible niece by marriage) †', 'Linfred of Stinchcombe (possible ancestor) †', 'Ignotus Peverell (possible ancestor) †', 'Possible ancestor †', 'Hardwin Potter (possible ancestor) †', 'Iolanthe Peverell (possible ancestor) †', 'Possible ancestors †', 'Ralston Potter (possible relative) †', 'Abraham Potter (possible relative) †', 'Possible relative †', 'Henry Potter (possible relative) †', 'Fleamont Potter (possible relative) †', 'Euphemia Potter (possible relative) †', 'James Potter (I) (possible relative) †', 'Lily Potter (I) (née Evans) (possible relative) †', 'Harry Potter (possible relative) †', 'Ginevra Potter (née Weasley) (possible relative) †', 'James Potter (II) (possible relative)', 'Albus Potter (possible relative)', 'Lily Potter (II) (possible relative)', 'Potter family', 'House of Black (in-laws)']",,,[],Married or widowed,,['Dorea Potter (wife) †'],,[],[],,,,,,,,,,
Charlus Potter's son,Male,,,,,Human,Pure-blood,,,,,,,,,,,,,,charlus-potter-s-son,[],,,,Before 31 October 1981,,"['Charlus Potter (father) †', 'Dorea Potter (née Black) (mother) †', 'Pollux Black (maternal uncle) †', 'Cassiopeia Black (maternal aunt) †', 'Marius Black (maternal uncle) †', 'Irma Black (née Crabbe) (maternal aunt by marriage)', 'Walburga Black (maternal first cousin; maternal second cousin-in-law) †', 'Alphard Black (maternal first cousin) †', 'Cygnus Black (III) (maternal first cousin) †', 'Araminta Meliflua Black (possible maternal first cousin) †', 'Cygnus Black (II) (maternal grandfather) †', 'Violetta Bulstrode (née Bulstrode) (maternal grandmother)', 'Linfred of Stinchcombe (possible paternal ancestor) †', 'Ignotus Peverell (possible paternal ancestor) †', 'Possible paternal ancestor †', 'Hardwin Potter (possible paternal ancestor) †', 'Iolanthe Peverell (possible paternal ancestor) †', 'Ralston Potter (possible paternal relative) †', 'Abraham Potter (possible paternal relative) †', 'Mr Potter (possible paternal relative) †', 'Henry Potter (possible paternal relative) †', 'Fleamont Potter (possible paternal relative) †', 'James Potter (I) (possible paternal relative) †', 'Harry Potter (possible paternal relative)', 'James Sirius Potter (possible paternal relative)', 'Albus Potter (possible paternal relative)', 'Lily Potter (possible paternal relative)', 'Potter family (paternal family)', 'House of Black (maternal family)']",,,[],,,[],,[],[],,,,,,,,,,
Chas,Male,,,,,Human,,,,,,,,,,,,,,,chas,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Chastity Barebone,Female,,,,,Human,No-Maj,,,,,,,,,,,,,,chastity-barebone,[],,,Between c. 1901 and 7 December 1905,"7 December 1926, Pike Street, New York City, New York, United States of America, North America",,"['Mary Lou Barebone (adoptive mother) †', 'Aurelius Dumbledore (adopted brother)', 'Modesty Barebone (adopted sister)', 'Bartholomew Barebone (adoptive ancestor) †', 'Adoptive ancestor †', 'Barebone family (adoptive family)']",,,[],,American,[],,[],[],,,,,,,,,,
Chauncey Clearwater,Male,,,,,Human,,,,,,,,,,,,,,,chauncey-clearwater,[],,,Between 1 September 1990 and 31 August 1997,,Brown,"['Penelope Clearwater (possibly)', 'Clearwater family']",Dark brown,,[],,British or Irish,[],Dark,[],[],,,,,,,,,,
Chauncey Oldridge,Male,,,,,Human,,,,,,,,,,,,,,,chauncey-oldridge,[],,,1342,1379 (aged 36-37),Bright Blue,[],Reddish brown,,[],,,[],Green (from Dragon pox),[],[],,,,,,,,,,
Chauncy,Male,,Hufflepuff,,,Human,,,,,,,,,,,,,,,chauncy,[],,,31 August 1974 or earlier,,Brown,[],Brown,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Chavelle Arbelo Cartaya,Female,,,,,Human,,,,,,,,,,,,,,,chavelle-arbelo-cartaya,[],,,"Before 1977, Spain (possibly)",,Brown,[],Black,,['Chaser for the Spanish National Quidditch team'],,Spanish,[],White (Tanned),['Chaser'],[],,,,,,,,,,
Chazelle Thibaut,Female,,,,,Human,,,,,,,,,,,,,,,chazelle-thibaut,[],,,Before 1920s,,,[],,,[],,French,[],,[],[],,,,,,,,,,
Chen Jianhua,Female,,,,,Human,,,,,,,,,,,,,,,chen-jianhua,[],,,,,Brown,[],Black,,['Player for the Chinese National Quidditch team'],,Chinese,[],Light,[],[],,,,,,,,,,
Chester Davies,Male,,Ravenclaw,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,chester-davies,[],,,Between 1 September 1968 and 31 August 1969,,Brown,"['Roger Davies (younger brother)', 'Lawrence Davies (possible relative)', 'Davies (possible relative)', 'Davies family']",Brown,,['Employee in the Improper Use of Magic Office'],,British or Irish,[],White,['Prefect'],[],,,,,,,,,,
Chester Hidland,Male,,,,,Human,Muggle,,,,,,,,,,,,,,chester-hidland,[],,,,,,[],,,['Playwright'],,,[],,[],[],,,,,,,,,,
Chiara Lobosca,Female,,Hufflepuff,,,Human (werewolf),Pure-blood or half-blood,,,,,,,,,,,,,,chiara-lobosca,['Grandma Chiara (by Muggle children)'],,,between 1 September 1972 and 31 August 1973,,Blue,"['Mother', 'Father', 'Lobosca family']",Silver,,"[""Healer at St Mungo's Hospital for Magical Maladies and Injuries""]",,British or Irish,"[""Jacob's sibling (possibly)""]",Light,[],[],,,,,,,,,,
Chiara Lobosca's father,Male,,,,,Human,,,,,,,,,,,,,,,chiara-lobosca-s-father,[],,,before 1970s,,,"['Chiara Lobosca (daughter)', 'Lobosca family']",,,['Arithmancer'],,British,['Mrs Lobosca (uncertain relationship)'],,[],[],,,,,,,,,,
Chiara Lobosca's mother,Female,,,,,Human,,,,,,,,,,,,,,,chiara-lobosca-s-mother,[],,,before 1970s,,,"['Chiara Lobosca (daughter)', 'Lobosca family']",,,['Obliviator'],,British,['Mr Lobosca (uncertain relationship)'],,[],[],,,,,,,,,,
Chief Warlock of the Wizengamot in 1544,Male,,,,,Human,,,,,,,,,,,,,,,chief-warlock-of-the-wizengamot-in-1544,[],,,,,,[],Brown,,['Chief Warlock of the Wizengamot'],,,[],Light,['Chief Warlock'],[],,,,,,,,,,
Chie Shinohara,Female,,Gryffindor,,,Human,,,,,,,,,,,,,,,chie-shinohara,[],,,31 August 1982 or earlier,,Brown,[],Black,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Chimaera at the Magical Creatures Reserve,,,,,,Chimaera,,,,,,,,,,,,,,,chimaera-at-the-magical-creatures-reserve,[],,,,,Yellow,[],Golden,,[],,,[],,[],[],,,,,,,,,,
